,url
18,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/fc/e0/5e/gyeonghoeru.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/fc/e0/5e/gyeonghoeru.jpg?w=700&h=500&s=1 2x"
19,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/c0/91/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/c0/91/caption.jpg?w=700&h=500&s=1 2x"
20,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/87/ca/58/photo6jpg.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/87/ca/58/photo6jpg.jpg?w=700&h=500&s=1 2x"
21,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/51/84/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/51/84/caption.jpg?w=700&h=500&s=1 2x"
22,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/03/d8/9d/gyeongbokgung.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/03/d8/9d/gyeongbokgung.jpg?w=700&h=500&s=1 2x"
23,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ed/c2/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ed/c2/caption.jpg?w=700&h=500&s=1 2x"
24,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b3/36/b6/4-day-eastern-korea-tour.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b3/36/b6/4-day-eastern-korea-tour.jpg?w=700&h=-1&s=1 2x"
25,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/62/e7/ba/photo3jpg.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/62/e7/ba/photo3jpg.jpg?w=700&h=-1&s=1 2x"
26,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/3c/83/32/the-war-memorial-of-korea.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/3c/83/32/the-war-memorial-of-korea.jpg?w=700&h=-1&s=1 2x"
27,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/08/33/7c/cheonggyecheon-stream.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/08/33/7c/cheonggyecheon-stream.jpg?w=700&h=500&s=1 2x"
28,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/1c/5c/91/tulips-in-bloom-in-a.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/1c/5c/91/tulips-in-bloom-in-a.jpg?w=700&h=500&s=1 2x"
29,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/82/08/8c/olympic-park.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/82/08/8c/olympic-park.jpg?w=700&h=-1&s=1 2x"
30,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/1a/73/ca/fun-at-everland.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/1a/73/ca/fun-at-everland.jpg?w=600&h=500&s=1 2x"
31,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/ea/10/da/bukhansan-national-park.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/ea/10/da/bukhansan-national-park.jpg?w=700&h=500&s=1 2x"
32,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/88/b4/66/gyeongbokgung-palace.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/88/b4/66/gyeongbokgung-palace.jpg?w=700&h=500&s=1 2x"
33,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f9/33/b0/caption.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f9/33/b0/caption.jpg?w=700&h=-1&s=1 2x"
34,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/fc/e0/5e/gyeonghoeru.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/fc/e0/5e/gyeonghoeru.jpg?w=700&h=500&s=1 2x"
35,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/c0/91/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/c0/91/caption.jpg?w=700&h=500&s=1 2x"
36,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/87/ca/58/photo6jpg.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/87/ca/58/photo6jpg.jpg?w=700&h=500&s=1 2x"
37,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/51/84/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/51/84/caption.jpg?w=700&h=500&s=1 2x"
38,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/03/d8/9d/gyeongbokgung.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/03/d8/9d/gyeongbokgung.jpg?w=700&h=500&s=1 2x"
39,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ed/c2/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ed/c2/caption.jpg?w=700&h=500&s=1 2x"
40,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b3/36/b6/4-day-eastern-korea-tour.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b3/36/b6/4-day-eastern-korea-tour.jpg?w=700&h=-1&s=1 2x"
41,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c6/a7/f6/photo4jpg.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c6/a7/f6/photo4jpg.jpg?w=700&h=500&s=1 2x"
42,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/e9/2b/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/e9/2b/caption.jpg?w=700&h=500&s=1 2x"
43,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/91/cf/60/photo0jpg.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/91/cf/60/photo0jpg.jpg?w=700&h=500&s=1 2x"
44,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/de/d7/de/goo-stk-733.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/de/d7/de/goo-stk-733.jpg?w=700&h=-1&s=1 2x"
45,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4b/fa/c0/photo5jpg.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4b/fa/c0/photo5jpg.jpg?w=700&h=500&s=1 2x"
46,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4b/fa/c1/photo6jpg.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4b/fa/c1/photo6jpg.jpg?w=700&h=500&s=1 2x"
47,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8f/a0/e1/n-seoul-tower.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8f/a0/e1/n-seoul-tower.jpg?w=600&h=-1&s=1 2x"
48,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/27/0b/ab/public-square.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/27/0b/ab/public-square.jpg?w=700&h=500&s=1 2x"
49,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/d3/50/a6/the-cliffs-of-seongsan.jpg?w=400&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/d3/50/a6/the-cliffs-of-seongsan.jpg?w=700&h=-1&s=1 2x"
50,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/bc/5b/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/bc/5b/caption.jpg?w=700&h=500&s=1 2x"
51,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/e1/13/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/e1/13/caption.jpg?w=700&h=500&s=1 2x"
52,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/59/83/caption.jpg?w=400&h=300&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/59/83/caption.jpg?w=700&h=500&s=1 2x"
